sent_bytes,cwin,sample_rtt,cur_send_queue,rwin,packet_loss_events
3106816,10,4,0,512,0
3115008,10,4,0,512,0
3121152,10,4,0,512,0
3139584,10,4,0,512,0
3143680,10,4,0,512,0
3149824,10,4,0,512,0
3162112,10,4,0,512,0
3170304,10,4,0,512,0
3178496,10,4,0,512,0
3192832,10,4,0,512,0
